+=================================================================================================+
| TOP MARKET CAP COMPANIES                                                                        |
| Date: 20260907 | Processed entries: 485                                                         |
+=================================================================================================+

+----------+----------------------+------------------------------------------+--------------------+
| Symbol   | Market Cap           | Name                                     | Sector             |
+----------+----------------------+------------------------------------------+--------------------+
| AAPL     |    4,669,700,046,848 | Apple Inc.                               | Technology Hard... |
| GOOGL    |    4,139,343,675,392 | Alphabet Inc. (Class A)                  | Interactive Med... |
| GOOG     |    4,100,819,517,440 | Alphabet Inc. (Class C)                  | Interactive Med... |
| MSFT     |    3,710,545,297,408 | Microsoft                                | Systems Software   |
| AMZN     |    2,788,369,891,328 | Amazon                                   | Broadline Retail   |
| AVGO     |    1,702,714,146,816 | Broadcom                                 | Semiconductors     |
| META     |    1,571,225,468,928 | Meta Platforms                           | Interactive Med... |
| TSLA     |    1,398,455,795,712 | Tesla Inc.                               | Automobile Manu... |
| MU       |    1,148,129,771,520 | Micron Technology                        | Semiconductors     |
| LLY      |    1,024,931,856,384 | Lilly (Eli)                              | Pharmaceuticals    |
| JPM      |      953,331,941,376 | JPMorgan Chase                           | Diversified Banks  |
| WMT      |      852,628,602,880 | Walmart                                  | Consumer Staple... |
| AMD      |      779,621,105,664 | Advanced Micro Devices                   | Semiconductors     |
| V        |      700,273,459,200 | Visa Inc.                                | Transaction & P... |
| JNJ      |      663,276,421,120 | Johnson & Johnson                        | Pharmaceuticals    |
| XOM      |      655,726,608,384 | ExxonMobil                               | Integrated Oil ... |
| MA       |      507,393,736,704 | Mastercard                               | Transaction & P... |
| INTC     |      506,408,894,464 | Intel                                    | Semiconductors     |
| ORCL     |      457,361,195,008 | Oracle Corporation                       | Application Sof... |
| ABBV     |      453,194,874,880 | AbbVie                                   | Biotechnology      |
| BAC      |      438,305,488,896 | Bank of America                          | Diversified Banks  |
| CSCO     |      430,530,461,696 | Cisco                                    | Communications ... |
| PLTR     |      418,925,182,976 | Palantir Technologies                    | Internet Servic... |
| CVX      |      409,190,465,536 | Chevron Corporation                      | Integrated Oil ... |
| COST     |      406,111,289,344 | Costco                                   | Consumer Staple... |
| LRCX     |      384,968,884,224 | Lam Research                             | Semiconductor M... |
| KO       |      378,925,481,984 | Coca-Cola Company (The)                  | Soft Drinks & N... |
| CAT      |      374,147,776,512 | Caterpillar Inc.                         | Construction Ma... |
| MRK      |      370,889,916,416 | Merck & Co.                              | Pharmaceuticals    |
| AMAT     |      360,856,682,496 | Applied Materials                        | Semiconductor M... |
| UNH      |      356,470,816,768 | UnitedHealth Group                       | Managed Health ... |
| GE       |      349,783,064,576 | GE Aerospace                             | Aerospace & Def... |
| MS       |      341,943,681,024 | Morgan Stanley                           | Investment Bank... |
| PG       |      340,132,134,912 | Procter & Gamble                         | Personal Care P... |
| DELL     |      338,669,076,480 | Dell Technologies                        | Technology Hard... |
| NFLX     |      325,828,280,320 | Netflix                                  | Movies & Entert... |
| HD       |      320,308,248,576 | Home Depot (The)                         | Home Improvemen... |
| GS       |      302,413,512,704 | Goldman Sachs                            | Investment Bank... |
| PM       |      284,493,709,312 | Philip Morris International              | Tobacco            |
| WFC      |      272,069,214,208 | Wells Fargo                              | Diversified Banks  |
| PANW     |      271,606,906,880 | Palo Alto Networks                       | Systems Software   |
| RTX      |      270,616,330,240 | RTX Corporation                          | Aerospace & Def... |
| GEV      |      250,872,922,112 | GE Vernova                               | Heavy Electrica... |
| ANET     |      244,400,128,000 | Arista Networks                          | Communications ... |
| KLAC     |      242,495,094,784 | KLA Corporation                          | Semiconductor M... |
| AMGN     |      236,380,536,832 | Amgen                                    | Biotechnology      |
| TXN      |      236,019,728,384 | Texas Instruments                        | Semiconductors     |
| C        |      231,016,595,456 | Citigroup                                | Diversified Banks  |
| TMO      |      226,943,500,288 | Thermo Fisher Scientific                 | Life Sciences T... |
| IBM      |      221,297,950,720 | IBM                                      | IT Consulting &... |
| AXP      |      220,259,057,664 | American Express                         | Consumer Finance   |
| LIN      |      220,150,300,672 | Linde plc                                | Industrial Gases   |
| CRWD     |      218,200,522,752 | CrowdStrike                              | Systems Software   |
| CRM      |      213,346,304,000 | Salesforce                               | Application Sof... |
| VZ       |      208,320,430,080 | Verizon                                  | Integrated Tele... |
| APH      |      204,132,728,832 | Amphenol                                 | Electronic Comp... |
| TMUS     |      194,711,355,392 | T-Mobile US                              | Wireless Teleco... |
| STX      |      192,484,655,104 | Seagate Technology                       | Technology Hard... |
| SCHW     |      188,999,090,176 | Charles Schwab Corporation               | Investment Bank... |
| PEP      |      188,002,582,528 | PepsiCo                                  | Soft Drinks & N... |
| ABT      |      187,452,440,576 | Abbott Laboratories                      | Health Care Equ... |
| GILD     |      187,227,029,504 | Gilead Sciences                          | Biotechnology      |
| DE       |      186,993,311,744 | Deere & Company                          | Agricultural & ... |
| BLK      |      182,345,416,704 | BlackRock                                | Asset Managemen... |
| DIS      |      181,837,381,632 | Walt Disney Company (The)                | Movies & Entert... |
| MCD      |      180,936,867,840 | McDonald's                               | Restaurants        |
| QCOM     |      180,224,524,288 | Qualcomm                                 | Semiconductors     |
| T        |      175,969,271,808 | AT&T                                     | Integrated Tele... |
| ADI      |      175,533,834,240 | Analog Devices                           | Semiconductors     |
| NEE      |      174,033,158,144 | NextEra Energy                           | Multi-Utilities    |
| UNP      |      172,056,150,016 | Union Pacific Corporation                | Rail Transporta... |
| WELL     |      170,177,495,040 | Welltower                                | Health Care REITs  |
| WDC      |      168,538,456,064 | Western Digital                          | Technology Hard... |
| BA       |      167,756,038,144 | Boeing                                   | Aerospace & Def... |
| BX       |      162,739,781,632 | Blackstone Inc.                          | Asset Managemen... |
| PFE      |      162,155,724,800 | Pfizer                                   | Pharmaceuticals    |
| COP      |      161,291,567,104 | ConocoPhillips                           | Oil & Gas Explo... |
| ETN      |      159,574,147,072 | Eaton Corporation                        | Electrical Comp... |
| UBER     |      154,744,356,864 | Uber                                     | Passenger Groun... |
| NOW      |      146,043,338,752 | ServiceNow                               | Systems Software   |
